frame,rally_id,player_id,speed_kmh,ball_x,ball_y,court_x,court_y,shot_type
6765,10,1,10.8,672,502,36.03047180175781,-351.0328063964844,
6796,10,1,52.4,814,503,167.44827270507812,-349.4819030761719,
6797,10,1,331.0,838,472,184.5652313232422,-532.5604858398438,
6814,10,1,146.2,1025,325,382.9385070800781,-1692.0167236328125,
6819,10,1,38.8,1055,326,419.9166259765625,-1684.3135986328125,
6837,10,2,9.9,1117,19,744.8013305664062,-8683.0771484375,
6845,10,2,457.2,1124,13,776.7145385742188,-9008.3916015625,
6846,10,2,388.8,1124,17,768.7167358398438,-8792.54296875,
6848,10,2,99.4,1127,18,775.380126953125,-8741.5615234375,
6849,10,2,288.0,1127,15,781.4137573242188,-8901.4443359375,
6851,10,2,96.8,1129,16,785.1837768554688,-8848.9501953125,
6855,10,2,92.5,1134,27,777.5457153320312,-8289.244140625,
6895,10,1,28.8,697,638,97.69024658203125,292.9149475097656,
6896,10,1,73.2,694,628,92.90968322753906,252.55152893066406,
6916,10,1,11.1,661,485,19.242338180541992,-448.5513000488281,
6918,10,1,10.7,661,482,18.03488540649414,-466.3037109375,
6920,10,1,21.6,656,483,13.711149215698242,-460.2108154296875,
